,order_count,total_customer_spend,average_order_value,average_review_score,average_delivery_days,days_since_last_purchase
order_count,,,,,,
total_customer_spend,,1.0,1.0,-0.04911874405933066,0.06956763779245739,-0.0010257513155211085
average_order_value,,1.0,1.0,-0.04913710872466976,0.0696084147362186,-0.0010033919834357764
average_review_score,,-0.04911874405933066,-0.04913710872466976,1.0,-0.33430172203655434,-0.02338248653775905
average_delivery_days,,0.06956763779245739,0.0696084147362186,-0.33430172203655434,1.0,0.09733785103244287
days_since_last_purchase,,-0.0010257513155211085,-0.0010033919834357764,-0.02338248653775905,0.09733785103244287,1.0
