,order_count,total_customer_spend,average_order_value,average_review_score,average_delivery_days,days_since_last_purchase
order_count,,,,,,
total_customer_spend,,1.0,1.0,-0.04265388869675126,0.1425437797550463,-0.013014559382812086
average_order_value,,1.0,1.0,-0.042685080041567604,0.1425789662407228,-0.012984785808690181
average_review_score,,-0.04265388869675126,-0.042685080041567604,1.0,-0.23484879442055714,-0.0309672868274672
average_delivery_days,,0.1425437797550463,0.1425789662407228,-0.23484879442055714,1.0,0.1656534975747217
days_since_last_purchase,,-0.013014559382812086,-0.012984785808690181,-0.0309672868274672,0.1656534975747217,1.0
