seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_review_score
00fc707aaaad2d31347cf883cd2dfe10,maringa,pr,103,142,13409.9,3.74
3b15288545f8928d3e65a8f949a28291,ibitinga,sp,101,121,14084.79,3.91
b2479f944e1b90cf8a5de1bbfde284d6,ibitinga,sp,101,132,4848.5,3.32
a49928bcdf77c55c6d6e05e09a9b4ca5,sao paulo,sp,96,104,8646.9,2.97
04308b1ee57b6625f47df1d56f00eedf,bombinhas,sc,92,92,58991.8,3.95
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,mg,92,102,21480.96,3.16
1d8dbc4f32378d715c717c1c1fc57bae,arapongas,pr,91,97,11205.99,3.93
440dd6ab244315c632130ecfb63827b1,votuporanga,sp,91,92,13089.0,3.89
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,rs,90,93,21648.67,3.96
6973a06f484aacf400ece213dbf3d946,sao jose dos campos,sp,89,110,10593.1,3.67
98dac6635aee4995d501a3972e047414,sao paulo,sp,89,190,4115.75,3.89
f84a00e60c73a49e7e851c9bdca3a5bb,rio de janeiro,rj,88,97,5849.24,3.72
609e1a9a6c2539919b8205cf7c4e6ff0,brusque,sc,87,130,6595.23,3.6
d20b021d3efdf267a402c402a48ea64b,ibitinga,sp,86,103,4002.29,3.71
891071be6ba827b591264c90c2ae8a63,sao paulo,sp,85,91,3793.34,3.87
8e6d7754bc7e0f22c96d255ebda59eba,sao jose dos campos,sp,84,132,14346.57,3.03
688756f717c462a206ad854c5027a64a,guarulhos,sp,81,100,5956.66,3.78
972d0f9cf61b499a4812cf0bfa3ad3c4,brusque,sc,81,86,7910.42,2.96
e8b3a3a38279a82f0e5d006d5e5b7d2c,jussara,pr,80,86,11962.3,3.94
f46490624488d3ff7ce78613913a7711,guarulhos,sp,80,87,5690.95,3.57
d673a59aac7a70d8b01e6902bf090a11,ibitinga,sp,79,85,3936.84,3.98
b14db04aa7881970e83ffa9426897925,sorocaba,sp,78,105,5595.9,3.8
712e6ed8aa4aa1fa65dab41fed5737e4,videira,sc,77,86,39477.0,3.47
d05ae8f7a5bd1d2a690a44cd079e4e27,rio de janeiro,rj,77,80,13244.0,3.82
f3da5b2ff499efb8d4a6d371d175d7dd,sao paulo,sp,77,83,3599.79,3.9
11bfa66332777660bd0640ee84d47006,ribeirao preto,sp,76,103,4146.86,3.78
1336efc61c316ddf92c899eb817f7cae,assis,sp,74,85,4837.31,3.94
701938c450705b8ae65fc923b70f35c7,s jose do rio preto,sp,74,111,11879.29,3.75
cac4c8e7b1ca6252d8f20b2fc1a2e4af,indaiatuba,sp,74,83,4228.18,3.55
54965bbe3e4f07ae045b90b0b8541f52,foz do iguacu,pr,73,81,10351.7,3.07
9e6229250fedbe05838fef417b74e7fb,mirandopolis,sp,73,77,12962.3,3.9
a7f13822ceb966b076af67121f87b063,itaquaquecetuba,sp,73,84,12017.69,3.49
5343d0649eca2a983820bfe93fc4d17e,santo andre,sp,70,110,9819.02,3.64
23613d49c3ac2bd302259e55c06c050c,porto ferreira,sp,69,79,4193.1,3.69
822166ed1e47908f7cfb49946d03c726,tres rios,rj,69,110,3752.31,3.94
f7ccf836d21b2fb1de37564105216cc1,ibitinga,sp,69,73,2748.4,3.86
bbad7e518d7af88a0897397ffdca1979,sao paulo,sp,68,84,4426.32,3.05
ca3bd7cd9f149df75950150d010fe4a2,sao paulo,sp,68,135,9253.47,3.79
5f2684dab12e59f83bef73ae57724e45,sao paulo,sp,67,73,8870.97,3.75
6fd52c528dcb38be2eea044946b811f8,sao paulo,sp,67,84,7743.02,3.5
a420f60ff1aa9acc80d0e42959f2b313,sao paulo,sp,67,69,7443.3,3.93
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,pr,66,72,8956.38,3.97
48162d548f5b1b11b9d29d1e01f75a61,piracicaba,sp,66,89,20109.39,3.82
4a3ccda38b2129705f3fb522db62ca31,marilia,sp,64,74,16730.99,3.81
beadbee30901a7f61d031b6b686095ad,guarulhos,sp,64,68,4373.98,3.94
4c18691b6037662be2df78a765d98ab5,sao paulo,sp,63,67,3195.52,3.84
6039e27294dc75811c0d8a39069f52c0,osasco,sp,63,75,13630.7,3.88
8e8a7ce9f2f970dc00e2acf6f6e199f6,sao goncalo,rj,63,65,8956.0,3.98
5058e8c1e82653974541e83690655b4a,itaquaquecetuba,sp,62,77,9812.83,3.08
e62b2d6ac10570a035a30bafcf01d263,sao paulo,sp,62,71,5340.39,3.83
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo  sp,sp,61,70,4587.4,3.84
fcb5ace8bcc92f75707dc0f01a27d269,guarulhos,sp,59,71,8036.45,3.91
75d34ebb1bd0bd7dde40dd507b8169c3,salvador,ba,57,67,12656.33,3.99
fffd5413c0700ac820c7069d66d98c89,amparo,sp,57,58,8535.0,3.91
4992e76a42cb3aad7a7047e0d3d7e729,sao paulo,sp,56,73,2171.2,3.88
7a241947449cc45dbfda4f9d0798d9d0,jacutinga,mg,56,66,7434.66,3.78
3df020b72d3d44b3af9d110fa3940b65,jales,sp,55,101,5039.9,3.95
fa1a9dec3a9940c072684a46728bf1fc,icara,sc,55,60,6674.0,3.98
2a261b5b644fa05f4f2700eb93544f2c,porto ferreira,sp,51,83,5405.0,3.34
318f287a62ab7ac10b703ac37435a231,sao paulo,sp,51,61,2432.48,3.92
7202e2ba20579a9bd1acb29e61fe71f6,franca,sp,51,53,12085.7,3.94
751bdc4d83a466c7206cd42e8f426b03,ribeirao pires,sp,51,70,6592.94,3.63
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,sp,50,56,11821.5,3.88
0b35c634521043bf4b47e21547b99ab5,teixeira soares,pr,50,77,13235.65,3.53
165fc07beebdcb6190fba8a06db2a449,maringa,pr,50,64,17481.4,3.69
23d7c96d4a1160db1c726b248601b25a,capivari,sp,50,53,10868.14,3.92
50c9975695009e5e6473912e83a6d1da,claudio,mg,50,68,3964.4,3.99
95f83f51203c626648c875dd41874c7f,borda da mata,mg,50,65,3077.66,3.22
b17b679f4f5ce2e03ce6968c62648246,ribeirao preto,sp,50,51,3424.18,3.92
ea566164622c6b439516ab18062c42cd,sao  paulo,sp,50,52,10309.42,3.75
