seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_review_score
6560211a19b47992c3666cc44a7e94c0,sao paulo,sp,1819,2002,120983.82,3.95
4a3ca9315b744ce9f8e9374361493884,ibitinga,sp,1772,1971,199408.32,3.83
1f50f920176fa81dab994f9023523100,sao jose do rio preto,sp,1399,1935,107147.91,3.99
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,sp,1132,1188,36696.76,3.98
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,sp,973,1366,188063.83,3.35
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,sp,910,1434,139720.16,3.87
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,sp,699,836,64655.23,3.89
391fc6631aebcf3004804e51b40bcf1e,ibitinga,sp,521,619,40067.23,3.97
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,sp,514,646,22026.69,3.64
1835b56ce799e6a4dc4eddc053f04066,ibitinga,sp,417,553,33211.72,3.62
4e922959ae960d389249c378d1c939f5,jacarei,sp,412,446,45338.42,3.9
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,sp,406,526,24824.46,3.88
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,sp,388,420,12108.21,3.92
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,sp,380,427,46648.09,3.86
92eb0f42c21942b6552362b9b114707d,sao paulo,sp,334,358,6416.41,3.96
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,sp,325,335,54630.65,3.97
ef506c96320abeedfb894c34db06f478,sao paulo,sp,316,333,9596.49,3.93
70a12e78e608ac31179aea7f8422044b,jacarei,sp,312,323,29963.53,3.79
897060da8b9a21f655304d50fd935913,ribeirao preto,sp,304,417,22339.36,3.47
855668e0971d4dfd7bef1b6a4133b41b,itatiba,sp,300,313,30899.22,3.84
634964b17796e64304cadf1ad3050fb7,rio de janeiro,rj,265,323,39114.1,3.87
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,sp,258,344,14520.47,3.76
88460e8ebdecbfecb5f9601833981930,maringa,pr,246,309,32184.5,3.37
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,sp,225,250,24455.58,3.79
e5a3438891c0bfdb9394643f95273d8e,limeira,sp,216,249,7597.56,3.87
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,sp,214,248,27444.52,3.83
7040e82f899a04d1b434b795a43b4617,sao paulo,sp,208,223,9213.7,3.59
001cca7ae9ae17fb1caed9dfb1094831,cariacica,es,195,234,24487.03,3.97
f457c46070d02cadd8a68551231220dd,maringa,pr,195,238,19471.7,3.82
2eb70248d66e0e3ef83659f71b244378,campinas,sp,187,198,39115.62,2.81
f45122a9ab94eb4f3f8953578bc0c560,piracicaba,sp,184,197,21764.68,3.92
522620dcb18a6b31cd7bdf73665113a9,cascavel,pr,172,178,56690.49,3.91
7d76b645482be4a332374e8223836592,sao paulo,sp,172,183,3765.74,3.97
5656537e588803a555b8eb41f07a944b,brasilia,df,171,186,7952.15,3.82
6d66611d7c44cc30ce351abc49a68421,sao paulo,sp,164,174,13428.6,3.93
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,sp,161,193,18446.92,3.95
2528513dd95219a6013d4d05176e391a,osasco,sp,160,166,32660.2,3.96
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,sp,156,175,11336.0,3.97
25c5c91f63607446a97b143d2d535d31,itauna,mg,156,271,54951.52,3.72
213b25e6f54661939f11710a6fddb871,salto,sp,152,191,15225.8,3.83
36a968b544695394e4e9d7572688598f,santos,sp,148,157,6999.37,3.73
7ad32824caee82087b3e2e5f33b1bf32,ibitinga,sp,147,180,22018.1,3.79
cfb1a033743668a192316f3c6d1d2671,votorantim,sp,143,184,13062.04,3.99
1c68394e931a64f90ea236c5ea590300,sarandi,pr,142,178,26133.56,3.94
44073f8b7e41514de3b7815dd0237f4f,brasilia,df,142,151,18380.64,3.75
3c7c4a49ec3c6550809089c6a2ca9370,sao paulo,sp,139,159,4102.65,3.72
8b28d096634035667e8263d57ba3368c,sao jose dos campos,sp,139,151,9025.3,3.9
710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,pr,131,137,22369.25,3.46
e9d99831abad74458942f21e16f33f92,sao paulo,sp,130,149,4922.48,3.91
8a32e327fe2c1b3511609d81aaf9f042,sao paulo,sp,126,171,6139.1,3.95
59b22a78efb79a4797979612b885db36,uberlandia,mg,125,133,27184.5,3.97
a673821011d0cec28146ea42f5ab767f,sao paulo,sp,125,144,13600.79,3.91
2c9e548be18521d1c43cde1c582c6de8,mogi das cruzes,sp,124,171,6013.56,3.95
cd68562d3f44870c08922d380acae552,ribeirao preto,sp,122,129,18119.7,3.91
dd7ddc04e1b6c2c614352b383efe2d36,sao paulo,sp,121,142,9148.61,3.78
c31eff8334d6b3047ed34bebd4d62c36,salto,sp,120,121,12991.61,3.88
e5a38146df062edaf55c38afa99e42dc,sao paulo,sp,120,126,15421.87,3.98
229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,mg,118,145,15479.0,3.64
431af27f296bc6519d890aa5a05fdb11,ribeirao preto,sp,116,125,13014.5,3.81
c33847515fa6305ce6feb1e818569f13,brusque,sc,114,128,15519.85,3.72
18a349e75d307f4b4cc646a691ed4216,sao paulo,sp,109,128,7425.21,3.52
1ca7077d890b907f89be8c954a02686a,santana de parnaiba,sp,108,127,12474.64,2.27
f4aba7c0bca51484c30ab7bdc34bcdd1,sao paulo,sp,108,115,2951.9,3.9
b1fc4f64df5a0e8b6913ab38803c57a9,sao goncalo,rj,107,121,7994.74,3.78
dd2bdf855a9172734fbc3744021ae9b9,belo horizonte,mg,105,111,10866.9,3.82
