customer_type,product,total_revenue,customer_count
loyal,air_conditioning,101.12,1
loyal,arts_and_craftmanship,145.56,1
loyal,audio,137.18,1
loyal,auto,696.45,3
loyal,baby,715.47,3
loyal,bed_bath_table,3291.82,12
loyal,computers_accessories,714.94,2
loyal,consoles_games,556.22,2
loyal,construction_tools_construction,135.07,2
loyal,cool_stuff,2075.0299999999997,4
loyal,costruction_tools_tools,38.66,1
loyal,drinks,63.6,1
loyal,dvds_blu_ray,172.32,1
loyal,fashio_female_clothing,154.52,1
loyal,fashion_bags_accessories,3329.39,8
loyal,fashion_shoes,73.75,1
loyal,food,232.51,2
loyal,food_drink,99.03,2
loyal,furniture_bedroom,284.14,3
loyal,furniture_decor,1943.78,8
loyal,furniture_living_room,452.12,2
loyal,garden_tools,552.6800000000001,5
loyal,health_beauty,1596.74,7
loyal,home_appliances,76.9,1
loyal,home_appliances_2,1236.76,1
loyal,home_construction,254.26,1
loyal,housewares,2035.95,9
loyal,la_cuisine,232.19,1
loyal,luggage_accessories,220.58999999999997,3
loyal,perfumery,538.85,3
loyal,pet_shop,191.84,3
loyal,sports_leisure,2590.05,10
loyal,stationery,194.86,4
loyal,tablets_printing_image,60.72,1
loyal,telephony,4735.19,3
loyal,toys,1899.9,5
loyal,unknown,478.06,6
loyal,watches_gifts,5076.75,9
one_time,agro_industry_and_commerce,76907.0,176
one_time,air_conditioning,57515.12,232
one_time,art,27554.39,194
one_time,arts_and_craftmanship,1756.0200000000002,18
one_time,audio,54387.21,334
one_time,auto,656304.35,3721
one_time,baby,460502.49,2742
one_time,bed_bath_table,1123664.8,8547
one_time,books_general_interest,54415.32,491
one_time,books_imported,5155.14,50
one_time,books_technical,23048.43,255
one_time,cds_dvds_musicals,954.99,12
one_time,christmas_supplies,11663.32,121
one_time,cine_photo,7060.88,62
one_time,computers,225226.13999999998,175
one_time,computers_accessories,986931.34,6276
one_time,consoles_games,169096.89,1024
one_time,construction_tools_construction,156435.42,709
one_time,construction_tools_lights,45938.34,232
one_time,construction_tools_safety,42783.27,158
one_time,cool_stuff,694367.65,3505
one_time,costruction_tools_garden,28983.29,182
one_time,costruction_tools_tools,17389.95,94
one_time,diapers_and_hygiene,1759.27,25
one_time,drinks,25403.95,269
one_time,dvds_blu_ray,6888.56,56
one_time,electronics,200485.15,2465
one_time,fashio_female_clothing,3010.59,34
one_time,fashion_bags_accessories,163444.66,1636
one_time,fashion_childrens_clothes,618.94,7
one_time,fashion_male_clothing,11566.2,100
one_time,fashion_shoes,25328.51,219
one_time,fashion_sport,2588.2799999999997,25
one_time,fashion_underwear_beach,10636.61,113
one_time,fixed_telephony,62904.76,206
one_time,flowers,1598.91,29
one_time,food,33257.83,421
one_time,food_drink,18588.22,212
one_time,furniture_bedroom,23003.9,82
one_time,furniture_decor,821817.39,5858
one_time,furniture_living_room,79294.86,385
one_time,furniture_mattress_and_upholstery,5253.89,34
one_time,garden_tools,558920.27,3328
one_time,health_beauty,1375813.97,8326
one_time,home_appliances,83823.64,628
one_time,home_appliances_2,120171.98,220
one_time,home_comfort_2,1114.58,22
one_time,home_confort,62260.3,367
one_time,home_construction,90779.15,456
one_time,housewares,735219.58,5532
one_time,industry_commerce_and_business,45850.66,225
one_time,kitchen_dining_laundry_garden_furniture,56045.82,234
one_time,la_cuisine,2036.75,11
one_time,luggage_accessories,162994.52,987
one_time,market_place,32501.58,266
one_time,music,6635.99,34
one_time,musical_instruments,206156.91,604
one_time,office_furniture,326533.36,1219
one_time,party_supplies,5274.46,38
one_time,perfumery,427712.03,2985
one_time,pet_shop,239281.62,1606
one_time,security_and_services,324.51,2
one_time,signaling_and_security,27227.74,134
one_time,small_appliances,192421.05,605
one_time,small_appliances_home_oven_and_coffee,49400.48,74
one_time,sports_leisure,1068236.32,7111
one_time,stationery,267000.47,2210
one_time,tablets_printing_image,8462.52,75
one_time,telephony,377126.9,4010
one_time,toys,535108.63,3688
one_time,unknown,203093.17,1384
one_time,watches_gifts,1246085.8,5343
repeat,agro_industry_and_commerce,1467.07,5
repeat,air_conditioning,4157.95,18
repeat,art,693.42,8
repeat,arts_and_craftmanship,282.56,2
repeat,audio,1874.5500000000002,14
repeat,auto,28383.52,128
repeat,baby,18900.04,113
repeat,bed_bath_table,114725.1,586
repeat,books_general_interest,1637.08,15
repeat,books_imported,254.56,2
repeat,books_technical,330.69000000000005,4
repeat,christmas_supplies,366.8,7
repeat,cine_photo,1128.78,3
repeat,computers,7573.29,4
repeat,computers_accessories,71626.12,279
repeat,consoles_games,7640.13,32
repeat,construction_tools_construction,8757.51,33
repeat,construction_tools_lights,2725.46,12
repeat,construction_tools_safety,1680.35,8
repeat,cool_stuff,22887.27,106
repeat,costruction_tools_garden,2044.0,9
repeat,costruction_tools_tools,505.56,2
repeat,diapers_and_hygiene,382.0,1
repeat,drinks,2702.4,22
repeat,dvds_blu_ray,227.25,1
repeat,electronics,6339.91,75
repeat,fashio_female_clothing,260.28,4
repeat,fashion_bags_accessories,17499.49,154
repeat,fashion_childrens_clothes,46.42,1
repeat,fashion_male_clothing,1384.03,10
repeat,fashion_shoes,3079.38,18
repeat,fashion_sport,109.36,2
repeat,fashion_underwear_beach,821.13,8
repeat,fixed_telephony,1316.05,11
repeat,food,3174.1,22
repeat,food_drink,1000.22,11
repeat,furniture_bedroom,1372.97,6
repeat,furniture_decor,78750.62,451
repeat,furniture_living_room,7137.75,28
repeat,furniture_mattress_and_upholstery,744.65,4
repeat,garden_tools,24746.26,156
repeat,health_beauty,63837.36,345
repeat,home_appliances,11089.89,74
repeat,home_appliances_2,2509.18,8
repeat,home_comfort_2,56.0,1
repeat,home_confort,4812.97,29
repeat,home_construction,5886.95,32
repeat,housewares,41142.24,280
repeat,industry_commerce_and_business,1703.63,8
repeat,kitchen_dining_laundry_garden_furniture,2281.98,13
repeat,la_cuisine,119.6,1
repeat,luggage_accessories,7660.1,38
repeat,market_place,1332.95,13
repeat,music,88.87,4
repeat,musical_instruments,3980.46,20
repeat,office_furniture,15999.289999999999,45
repeat,party_supplies,38.69,1
repeat,perfumery,25087.83,136
repeat,pet_shop,14403.19,80
repeat,signaling_and_security,789.3100000000001,5
repeat,small_appliances,14247.78,22
repeat,small_appliances_home_oven_and_coffee,793.09,1
repeat,sports_leisure,85830.11,394
repeat,stationery,10546.380000000001,82
repeat,tablets_printing_image,231.37,3
repeat,telephony,13021.23,139
