week_ending,weekly_orders,weekly_revenue,avg_daily_orders,avg_daily_revenue,revenue_7d_ma_end,wow_order_count_pct,wow_revenue_pct,cumulative_weekly_orders,cumulative_weekly_revenue
2017-05-28,784,135076.45,112.0,19296.635714285716,19296.64,-16.6,-5.51,11301,1886966.01
2017-06-04,836,135208.52000000002,119.42857142857143,19315.50285714286,19315.5,6.63,0.1,12137,2022174.53
2017-06-11,847,131083.7,121.0,18726.242857142857,18726.24,1.32,-3.05,12984,2153258.23
2017-06-18,753,120530.41,107.57142857142857,17218.63,17218.63,-11.1,-8.05,13737,2273788.64
2017-06-25,661,104923.94,94.42857142857143,14989.134285714286,14989.13,-12.22,-12.95,14398,2378712.58
2017-07-02,730,111034.01000000001,104.28571428571429,15862.00142857143,15862.0,10.44,5.82,15128,2489746.59
2017-07-09,841,128035.67,120.14285714285714,18290.81,18290.81,15.21,15.31,15969,2617782.26
2017-07-16,959,137465.52,137.0,19637.931428571428,19637.93,14.03,7.37,16928,2755247.78
2017-07-23,963,144436.18,137.57142857142858,20633.739999999998,20633.74,0.42,5.07,17891,2899683.96
2017-07-30,927,133824.27,132.42857142857142,19117.752857142856,19117.75,-3.74,-7.35,18818,3033508.23
2017-08-06,984,143169.84,140.57142857142858,20452.834285714285,20452.83,6.15,6.98,19802,3176678.07
2017-08-13,939,151755.66,134.14285714285714,21679.38,21679.38,-4.57,6.0,20741,3328433.73
2017-08-20,1044,150898.21,149.14285714285714,21556.88714285714,21556.89,11.18,-0.57,21785,3479331.94
2017-08-27,890,126949.11,127.14285714285714,18135.587142857144,18135.59,-14.75,-15.87,22675,3606281.05
2017-09-03,1009,206018.63999999998,144.14285714285714,29431.234285714283,29431.23,13.37,62.28,23684,3812299.69
2017-09-10,904,157273.51,129.14285714285714,22467.644285714287,22467.64,-10.41,-23.66,24588,3969573.2
2017-09-17,1164,186891.12,166.28571428571428,26698.731428571427,26698.73,28.76,18.83,25752,4156464.32
2017-09-24,994,152297.3,142.0,21756.757142857143,21756.76,-14.6,-18.51,26746,4308761.62
2017-10-01,964,169294.72,137.71428571428572,24184.96,24184.96,-3.02,11.16,27710,4478056.34
2017-10-08,999,169493.93,142.71428571428572,24213.41857142857,24213.42,3.63,0.12,28709,4647550.27
2017-10-15,1070,180689.57,152.85714285714286,25812.795714285716,25812.8,7.11,6.61,29779,4828239.84
2017-10-22,1147,192660.62,163.85714285714286,27522.945714285714,27522.95,7.2,6.63,30926,5020900.46
2017-10-29,978,164124.25,139.71428571428572,23446.321428571428,23446.32,-14.73,-14.81,31904,5185024.71
2017-11-05,942,169625.3,134.57142857142858,24232.18571428571,24232.19,-3.68,3.35,32846,5354650.01
2017-11-12,1217,189483.29,173.85714285714286,27069.04142857143,27069.04,29.19,11.71,34063,5544133.3
2017-11-19,1313,209033.46999999997,187.57142857142858,29861.92428571428,29861.92,7.89,10.32,35376,5753166.77
2017-11-26,3008,478796.24,429.7142857142857,68399.46285714286,68399.46,129.09,129.05,38384,6231963.01
2017-12-03,2098,315537.12,299.7142857142857,45076.73142857143,45076.73,-30.25,-34.1,40482,6547500.13
2017-12-10,1692,265331.61,241.71428571428572,37904.51571428571,37904.52,-19.35,-15.91,42174,6812831.74
2017-12-17,1401,221389.89,200.14285714285714,31627.127142857145,31627.13,-17.2,-16.56,43575,7034221.63
2017-12-24,978,153403.43,139.71428571428572,21914.77571428571,21914.78,-30.19,-30.71,44553,7187625.06
2017-12-31,877,121484.01,125.28571428571429,17354.85857142857,17354.86,-10.33,-20.81,45430,7309109.07
2018-01-07,1383,215181.07,197.57142857142858,30740.152857142857,30740.15,57.7,77.13,46813,7524290.14
2018-01-14,1785,278807.98,255.0,39829.71142857143,39829.71,29.07,29.57,48598,7803098.12
2018-01-21,1750,262795.33,250.0,37542.19,37542.19,-1.96,-5.74,50348,8065893.45
2018-01-28,1591,248748.04,227.28571428571428,35535.434285714284,35535.43,-9.09,-5.35,51939,8314641.49
2018-02-04,1598,233606.21,228.28571428571428,33372.315714285716,33372.32,0.44,-6.09,53537,8548247.7
2018-02-11,1584,238473.08000000002,226.28571428571428,34067.58285714286,34067.58,-0.88,2.08,55121,8786720.78
2018-02-18,1640,230433.78,234.28571428571428,32919.11142857143,32919.11,3.54,-3.37,56761,9017154.56
2018-02-25,1756,249589.34,250.85714285714286,35655.62,35655.62,7.07,8.31,58517,9266743.9
2018-03-04,1903,303391.99,271.85714285714283,43341.712857142855,43341.71,8.37,21.56,60420,9570135.89
2018-03-11,1643,269508.58,234.71428571428572,38501.22571428572,38501.23,-13.66,-11.17,62063,9839644.47
2018-03-18,1595,257300.03,227.85714285714286,36757.147142857146,36757.15,-2.92,-4.53,63658,10096944.5
2018-03-25,1716,271789.06,245.14285714285714,38827.008571428574,38827.01,7.59,5.63,65374,10368733.56
2018-04-01,1471,241684.15000000002,210.14285714285714,34526.30714285715,34526.31,-14.28,-11.08,66845,10610417.71
2018-04-08,1590,265234.58999999997,227.14285714285714,37890.65571428571,37890.66,8.09,9.74,68435,10875652.3
2018-04-15,1554,270870.54,222.0,38695.79142857143,38695.79,-2.26,2.12,69989,11146522.84
2018-04-22,1672,274113.4,238.85714285714286,39159.05714285715,39159.06,7.59,1.2,71661,11420636.24
2018-04-29,1676,275341.33999999997,239.42857142857142,39334.47714285714,39334.48,0.24,0.45,73337,11695977.58
2018-05-06,1770,286672.43,252.85714285714286,40953.20428571429,40953.2,5.61,4.12,75107,11982650.01
2018-05-13,1987,342216.01,283.85714285714283,48888.00142857143,48888.0,12.26,19.38,77094,12324866.02
2018-05-20,1837,300572.76,262.42857142857144,42938.96571428572,42938.97,-7.55,-12.17,78931,12625438.78
2018-05-27,954,155125.69,136.28571428571428,22160.812857142857,22160.81,-48.07,-48.39,79885,12780564.47
2018-06-03,1083,209680.35,154.71428571428572,29954.335714285717,29954.34,13.52,35.17,80968,12990244.82
2018-06-10,1438,241777.37,205.42857142857142,34539.624285714286,34539.62,32.78,15.31,82406,13232022.19
2018-06-17,1514,259652.16999999998,216.28571428571428,37093.16714285714,37093.17,5.29,7.39,83920,13491674.36
2018-06-24,1457,228105.75,208.14285714285714,32586.535714285714,32586.54,-3.76,-12.15,85377,13719780.11
2018-07-01,1401,224157.43,200.14285714285714,32022.489999999998,32022.49,-3.84,-1.73,86778,13943937.54
2018-07-08,1196,187346.96,170.85714285714286,26763.851428571426,26763.85,-14.63,-16.42,87974,14131284.5
2018-07-15,1001,196745.62,143.0,28106.51714285714,28106.52,-16.3,5.02,88975,14328030.12
2018-07-22,1678,266519.0,239.71428571428572,38074.142857142855,38074.14,67.63,35.46,90653,14594549.12
2018-07-29,1646,285928.36,235.14285714285714,40846.90857142857,40846.91,-1.91,7.28,92299,14880477.48
2018-08-05,2058,328753.25,294.0,46964.75,46964.75,25.03,14.98,94357,15209230.73
2018-08-12,1988,335350.9,284.0,47907.27142857143,47907.27,-3.4,2.01,96345,15544581.63
2018-08-19,1875,296199.4,267.85714285714283,42314.200000000004,42314.2,-5.68,-11.67,98220,15840781.03
2018-08-26,1071,148464.45,153.0,21209.207142857143,21209.21,-42.88,-49.88,99291,15989245.48
2018-09-02,130,14597.43,18.571428571428573,2085.347142857143,2085.35,-87.86,-90.17,99421,16003842.91
2018-09-09,7,2901.84,1.0,414.54857142857145,414.55,-94.62,-80.12,99428,16006744.75
2018-09-16,4,808.46,0.5714285714285714,115.49428571428572,115.49,-42.86,-72.14,99432,16007553.21
2018-09-23,2,276.03999999999996,0.2857142857142857,39.43428571428571,39.43,-50.0,-65.86,99434,16007829.25
2018-09-30,3,453.2,0.42857142857142855,64.74285714285715,64.74,50.0,64.18,99437,16008282.45
2018-10-07,2,277.93,0.2857142857142857,39.70428571428572,39.7,-33.33,-38.67,99439,16008560.38
2018-10-14,0,0.0,0.0,0.0,0.0,-100.0,-100.0,99439,16008560.38
2018-10-21,2,311.74,0.6666666666666666,103.91333333333334,44.53,inf,inf,99441,16008872.12
