week_ending,weekly_orders,weekly_revenue,avg_daily_orders,avg_daily_revenue,revenue_7d_ma_end,wow_order_count_pct,wow_revenue_pct,cumulative_weekly_orders,cumulative_weekly_revenue
2016-09-04,1,136.23,1.0,136.23,136.23,,,1,136.23
2016-09-11,1,75.06,0.14285714285714285,10.722857142857142,10.72,0.0,-44.9,2,211.29
2016-09-18,2,40.95,0.2857142857142857,5.8500000000000005,5.85,100.0,-45.44,4,252.24
2016-09-25,0,0.0,0.0,0.0,0.0,-100.0,-100.0,4,252.24
2016-10-02,1,109.34,0.14285714285714285,15.620000000000001,15.62,inf,inf,5,361.58
2016-10-09,283,54244.05,40.42857142857143,7749.150000000001,7749.15,28200.0,49510.44,288,54605.63
2016-10-16,39,4675.1,5.571428571428571,667.8714285714286,667.87,-86.22,-91.38,327,59280.73
2016-10-23,1,61.99,0.14285714285714285,8.855714285714287,8.86,-97.44,-98.67,328,59342.72
2016-10-30,0,0.0,0.0,0.0,0.0,-100.0,-100.0,328,59342.72
2016-11-06,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-11-13,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-11-20,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-11-27,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-12-04,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-12-11,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-12-18,0,0.0,0.0,0.0,0.0,,,328,59342.72
2016-12-25,1,19.62,0.14285714285714285,2.802857142857143,2.8,inf,inf,329,59362.34
2017-01-01,0,0.0,0.0,0.0,0.0,-100.0,-100.0,329,59362.34
2017-01-08,46,3953.17,6.571428571428571,564.7385714285714,564.74,inf,inf,375,63315.51
2017-01-15,80,14873.369999999999,11.428571428571429,2124.7671428571425,2124.77,73.91,276.24,455,78188.88
2017-01-22,197,28502.440000000002,28.142857142857142,4071.777142857143,4071.78,146.25,91.63,652,106691.32
2017-01-29,354,65949.43,50.57142857142857,9421.347142857141,9421.35,79.7,131.38,1006,172640.75
2017-02-05,467,83736.76,66.71428571428571,11962.394285714285,11962.39,31.92,26.97,1473,256377.51
2017-02-12,548,91402.1,78.28571428571429,13057.442857142858,13057.44,17.34,9.15,2021,347779.61
2017-02-19,411,66410.81,58.714285714285715,9487.25857142857,9487.26,-25.0,-27.34,2432,414190.42
2017-02-26,379,56148.68,54.142857142857146,8021.24,8021.24,-7.79,-15.45,2811,470339.1
2017-03-05,497,89966.36,71.0,12852.337142857143,12852.34,31.13,60.23,3308,560305.46
2017-03-12,582,92844.55,83.14285714285714,13263.507142857143,13263.51,17.1,3.2,3890,653150.01
2017-03-19,615,109150.1,87.85714285714286,15592.871428571429,15592.87,5.67,17.56,4505,762300.11
2017-03-26,654,106536.62,93.42857142857143,15219.517142857143,15219.52,6.34,-2.39,5159,868836.73
2017-04-02,565,101968.56,80.71428571428571,14566.937142857143,14566.94,-13.61,-4.29,5724,970805.29
2017-04-09,586,107591.89,83.71428571428571,15370.27,15370.27,3.72,5.51,6310,1078397.18
2017-04-16,443,70433.91,63.285714285714285,10061.987142857144,10061.99,-24.4,-34.54,6753,1148831.09
2017-04-23,571,101204.25,81.57142857142857,14457.75,14457.75,28.89,43.69,7324,1250035.34
2017-04-30,671,107374.68000000001,95.85714285714286,15339.240000000002,15339.24,17.51,6.1,7995,1357410.02
2017-05-07,788,119916.92,112.57142857142857,17130.98857142857,17130.99,17.44,11.68,8783,1477326.94
2017-05-14,794,131604.13,113.42857142857143,18800.59,18800.59,0.76,9.75,9577,1608931.07
2017-05-21,940,142958.49,134.28571428571428,20422.641428571427,20422.64,18.39,8.63,10517,1751889.56
