month_ending,monthly_orders,monthly_revenue,avg_daily_orders,avg_daily_revenue,peak_daily_orders,peak_daily_revenue,mom_order_count_pct,mom_revenue_pct,revenue_3mo_rolling_avg,cumulative_monthly_orders,cumulative_monthly_revenue
2016-09-30,4,252.24,0.14814814814814814,9.342222222222222,1,136.23,,,252.24,4,252.24
2016-10-31,324,59090.48,10.451612903225806,1906.1445161290324,63,11914.65,8000.0,23326.29,29671.36,328,59342.72
2016-11-30,0,0.0,0.0,0.0,0,0.0,-100.0,-100.0,19780.91,328,59342.72
2016-12-31,1,19.62,0.03225806451612903,0.6329032258064516,1,19.62,inf,inf,19703.37,329,59362.34
2017-01-31,800,138488.04,25.806451612903224,4467.356129032259,86,15191.96,79900.0,705751.38,46169.22,1129,197850.38
2017-02-28,1780,291908.01,63.57142857142857,10425.286071428573,112,16682.29,122.5,110.78,143471.89,2909,489758.39
2017-03-31,2682,449863.6,86.51612903225806,14511.729032258063,119,22913.37,50.67,54.11,293419.88,5591,939621.99
2017-04-30,2404,417788.02999999997,80.13333333333334,13926.267666666665,125,26863.579999999998,-10.37,-7.13,386519.88,7995,1357410.02
2017-05-31,3700,592918.82,119.35483870967742,19126.413548387096,160,28906.6,53.91,41.92,486856.82,11695,1950328.84
2017-06-30,3245,511276.38,108.16666666666667,17042.546,156,27400.54,-12.3,-13.77,507327.74,14940,2461605.22
2017-07-31,4026,592382.92,129.8709677419355,19109.126451612905,192,32450.89,24.07,15.86,565526.04,18966,3053988.14
2017-08-31,4331,674396.32,139.70967741935485,21754.719999999998,194,37025.7,7.58,13.84,592685.21,23297,3728384.46
2017-09-30,4285,727762.45,142.83333333333334,24258.748333333333,207,34497.47,-1.06,7.91,664847.23,27582,4456146.91
2017-10-31,4631,779677.88,149.38709677419354,25150.89935483871,202,35315.42,8.07,7.13,727278.88,32213,5235824.79
2017-11-30,7544,1194882.8,251.46666666666667,39829.426666666666,1176,179200.03,62.9,53.25,900774.38,39757,6430707.59
2017-12-31,5673,878401.48,183.0,28335.531612903225,337,56225.41,-24.8,-26.49,950987.39,45430,7309109.07
2018-01-31,7269,1115004.18,234.48387096774192,35967.876774193544,314,51339.38,28.13,26.94,1062762.82,52699,8424113.25
2018-02-28,6728,992463.34,240.28571428571428,35445.11928571428,313,52321.74,-7.44,-10.99,995289.67,59427,9416576.59
2018-03-31,7211,1159652.12,232.61290322580646,37408.13290322581,303,52707.31,7.18,16.85,1089039.88,66638,10576228.71
2018-04-30,6939,1160785.48,231.3,38692.84933333333,293,55782.82,-3.77,0.1,1104300.31,73577,11737014.19
2018-05-31,6873,1153982.15,221.70967741935485,37225.23064516129,372,64742.06,-0.95,-0.59,1158139.92,80450,12890996.34
2018-06-30,6167,1023880.5,205.56666666666666,34129.35,294,57345.56,-10.27,-11.27,1112882.71,86617,13914876.84
2018-07-31,6292,1066540.75,202.96774193548387,34404.540322580644,322,54652.1,2.03,4.17,1081467.8,92909,14981417.59
2018-08-31,6512,1022425.32,210.06451612903226,32981.46193548387,372,65860.43,3.5,-4.14,1037615.52,99421,16003842.91
2018-09-30,16,4439.54,0.5333333333333333,147.98466666666667,4,2443.2000000000003,-99.75,-99.57,697801.87,99437,16008282.45
2018-10-31,4,589.67,0.23529411764705882,34.686470588235295,1,222.03,-75.0,-86.72,342484.84,99441,16008872.12
