customer_type,churn_rate,total_revenue,customer_count,avg_review_score,churn_rank,revenue_contribution
loyal,0.625,37384.97,48,4.464814814814814,3.0,0.23596329329468013
one_time,0.8127276854724508,14939106.99,92507,4.100852783253646,1.0,94.29139261692538
repeat,0.7975567190226877,867061.28,2865,4.148974867724868,2.0,5.472644089779951
