customer_type,agro_industry_and_commerce,air_conditioning,art,arts_and_craftmanship,audio,auto,baby,bed_bath_table,books_general_interest,books_imported,books_technical,cds_dvds_musicals,christmas_supplies,cine_photo,computers,computers_accessories,consoles_games,construction_tools_construction,construction_tools_lights,construction_tools_safety,cool_stuff,costruction_tools_garden,costruction_tools_tools,diapers_and_hygiene,drinks,dvds_blu_ray,electronics,fashio_female_clothing,fashion_bags_accessories,fashion_childrens_clothes,fashion_male_clothing,fashion_shoes,fashion_sport,fashion_underwear_beach,fixed_telephony,flowers,food,food_drink,furniture_bedroom,furniture_decor,furniture_living_room,furniture_mattress_and_upholstery,garden_tools,health_beauty,home_appliances,home_appliances_2,home_comfort_2,home_confort,home_construction,housewares,industry_commerce_and_business,kitchen_dining_laundry_garden_furniture,la_cuisine,luggage_accessories,market_place,music,musical_instruments,office_furniture,party_supplies,perfumery,pet_shop,security_and_services,signaling_and_security,small_appliances,small_appliances_home_oven_and_coffee,sports_leisure,stationery,tablets_printing_image,telephony,toys,unknown,watches_gifts
loyal,0.0,101.12,0.0,145.56,137.18,696.45,715.47,3291.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.94,556.22,135.07,0.0,0.0,2075.0299999999997,0.0,38.66,0.0,63.6,172.32,0.0,154.52,3329.39,0.0,0.0,73.75,0.0,0.0,0.0,0.0,232.51,99.03,284.14,1943.78,452.12,0.0,552.6800000000001,1596.74,76.9,1236.76,0.0,0.0,254.26,2035.95,0.0,0.0,232.19,220.58999999999997,0.0,0.0,0.0,0.0,0.0,538.85,191.84,0.0,0.0,0.0,0.0,2590.05,194.86,60.72,4735.19,1899.9,478.06,5076.75
one_time,76907.0,57515.12,27554.39,1756.0200000000002,54387.21,656304.35,460502.49,1123664.8,54415.32,5155.14,23048.43,954.99,11663.32,7060.88,225226.13999999998,986931.34,169096.89,156435.42,45938.34,42783.27,694367.65,28983.29,17389.95,1759.27,25403.95,6888.56,200485.15,3010.59,163444.66,618.94,11566.2,25328.51,2588.2799999999997,10636.61,62904.76,1598.91,33257.83,18588.22,23003.9,821817.39,79294.86,5253.89,558920.27,1375813.97,83823.64,120171.98,1114.58,62260.3,90779.15,735219.58,45850.66,56045.82,2036.75,162994.52,32501.58,6635.99,206156.91,326533.36,5274.46,427712.03,239281.62,324.51,27227.74,192421.05,49400.48,1068236.32,267000.47,8462.52,377126.9,535108.63,203093.17,1246085.8
repeat,1467.07,4157.95,693.42,282.56,1874.5500000000002,28383.52,18900.04,114725.1,1637.08,254.56,330.69000000000005,0.0,366.8,1128.78,7573.29,71626.12,7640.13,8757.51,2725.46,1680.35,22887.27,2044.0,505.56,382.0,2702.4,227.25,6339.91,260.28,17499.49,46.42,1384.03,3079.38,109.36,821.13,1316.05,0.0,3174.1,1000.22,1372.97,78750.62,7137.75,744.65,24746.26,63837.36,11089.89,2509.18,56.0,4812.97,5886.95,41142.24,1703.63,2281.98,119.6,7660.1,1332.95,88.87,3980.46,15999.289999999999,38.69,25087.83,14403.19,0.0,789.3100000000001,14247.78,793.09,85830.11,10546.380000000001,231.37,13021.23,24364.02,10091.67,54379.06
