dataset,rows_before,rows_after,rows_removed,total_nulls_before,total_nulls_after
olist_customers_dataset.csv,99441,99441,0,0,0
olist_geolocation_dataset.csv,1000163,1000163,0,0,0
olist_order_items_dataset.csv,112650,112650,0,0,0
olist_order_payments_dataset.csv,103886,103886,0,0,0
olist_order_reviews_dataset.csv,99224,99224,0,145903,145903
olist_orders_dataset.csv,99441,99441,0,4908,4908
olist_products_dataset.csv,32951,32951,0,2448,2448
olist_sellers_dataset.csv,3095,3095,0,0,0
product_category_name_translation.csv,71,71,0,0,0
