purchase_date,order_count,successful_orders,failed_orders,revenue,success_rate,failure_rate
2017-05-31,129,118,6,24063.38,0.9147286821705426,0.046511627906976744
2017-09-23,88,81,4,12574.83,0.9204545454545454,0.045454545454545456
2017-10-21,113,104,5,18022.3,0.9203539823008849,0.04424778761061947
2017-05-12,115,105,5,15314.46,0.9130434782608695,0.043478260869565216
2017-01-31,70,64,3,13021.73,0.9142857142857143,0.04285714285714286
2017-03-20,119,113,5,20014.93,0.9495798319327731,0.04201680672268908
2017-07-05,145,138,6,24664.58,0.9517241379310345,0.041379310344827586
2017-07-07,121,114,5,16676.75,0.9421487603305785,0.04132231404958678
2017-09-29,121,109,5,34497.47,0.9008264462809917,0.04132231404958678
2017-11-17,197,185,8,35386.84,0.9390862944162437,0.04060913705583756
2017-03-01,99,93,4,18923.17,0.9393939393939394,0.04040404040404041
2017-10-20,124,118,5,21979.2,0.9516129032258065,0.04032258064516129
2017-11-02,124,117,5,25017.16,0.9435483870967742,0.04032258064516129
2017-10-30,149,138,6,23741.86,0.9261744966442953,0.040268456375838924
2017-07-12,153,145,6,22740.8,0.9477124183006536,0.0392156862745098
2017-07-06,154,140,6,26556.07,0.9090909090909091,0.03896103896103896
2017-06-07,129,122,5,16072.62,0.9457364341085271,0.03875968992248062
2017-10-06,130,124,5,21890.58,0.9538461538461539,0.038461538461538464
2017-02-13,78,74,3,13092.09,0.9487179487179487,0.038461538461538464
2017-03-24,79,75,3,13386.91,0.9493670886075949,0.0379746835443038
2017-10-10,185,175,7,32559.07,0.9459459459459459,0.03783783783783784
2017-01-30,53,48,2,12187.9,0.9056603773584906,0.03773584905660377
2017-05-25,108,103,4,18420.66,0.9537037037037037,0.037037037037037035
2017-07-02,108,102,4,14002.37,0.9444444444444444,0.037037037037037035
2017-02-18,54,52,2,9308.3,0.9629629629629629,0.037037037037037035
2017-11-14,192,184,7,32012.6,0.9583333333333334,0.036458333333333336
2017-03-23,114,105,4,22913.37,0.9210526315789473,0.03508771929824561
2017-06-29,114,110,4,14694.57,0.9649122807017544,0.03508771929824561
2017-10-12,143,136,5,22520.93,0.951048951048951,0.03496503496503497
2017-11-03,143,138,5,27058.52,0.965034965034965,0.03496503496503497
2017-01-20,29,28,1,4698.07,0.9655172413793104,0.034482758620689655
2017-04-23,88,84,3,11839.91,0.9545454545454546,0.03409090909090909
2018-02-09,216,208,7,35374.19,0.9629629629629629,0.032407407407407406
2017-02-15,62,56,2,8326.4,0.9032258064516129,0.03225806451612903
2017-01-22,31,30,1,4280.22,0.967741935483871,0.03225806451612903
2017-08-02,157,149,5,21690.26,0.9490445859872612,0.03184713375796178
2017-08-14,159,153,5,22232.12,0.9622641509433962,0.031446540880503145
2017-11-11,159,152,5,27578.63,0.9559748427672956,0.031446540880503145
2017-05-09,128,120,4,24245.05,0.9375,0.03125
2017-02-12,64,61,2,16682.29,0.953125,0.03125
2017-02-24,64,60,2,7983.01,0.9375,0.03125
2017-11-06,193,182,6,33945.14,0.9430051813471503,0.031088082901554404
2017-08-12,98,91,3,16221.09,0.9285714285714286,0.030612244897959183
2018-01-21,199,188,6,28447.42,0.9447236180904522,0.03015075376884422
2017-07-17,168,162,5,25799.54,0.9642857142857143,0.02976190476190476
2017-09-25,136,129,4,21203.05,0.9485294117647058,0.029411764705882353
2017-04-08,68,64,2,10290.74,0.9411764705882353,0.029411764705882353
2017-03-28,103,96,3,14838.58,0.9320388349514563,0.02912621359223301
2017-10-07,105,100,3,17975.41,0.9523809523809523,0.02857142857142857
2017-08-11,141,133,4,23627.11,0.9432624113475178,0.028368794326241134
2017-11-23,283,268,8,52584.62,0.9469964664310954,0.028268551236749116
2018-07-30,288,278,8,46288.01,0.9652777777777778,0.027777777777777776
2017-11-05,144,137,4,21752.57,0.9513888888888888,0.027777777777777776
2017-06-15,108,103,3,15105.26,0.9537037037037037,0.027777777777777776
2017-04-09,73,68,2,9689.41,0.9315068493150684,0.0273972602739726
2018-01-30,258,248,7,35523.61,0.9612403100775194,0.027131782945736434
2017-03-13,111,104,3,19306.06,0.9369369369369369,0.02702702702702703
2017-03-03,74,72,2,14154.71,0.972972972972973,0.02702702702702703
2017-11-18,149,141,4,27968.57,0.9463087248322147,0.026845637583892617
2017-07-16,114,107,3,16150.23,0.9385964912280702,0.02631578947368421
2017-03-25,76,72,2,11251.74,0.9473684210526315,0.02631578947368421
2017-11-09,191,182,5,29175.83,0.9528795811518325,0.02617801047120419
2017-07-25,153,145,4,20884.7,0.9477124183006536,0.026143790849673203
2018-01-28,156,149,4,27804.9,0.9551282051282052,0.02564102564102564
2017-05-15,157,149,4,21907.01,0.9490445859872612,0.025477707006369428
2017-03-08,79,73,2,16769.66,0.9240506329113924,0.02531645569620253
2017-12-06,280,269,7,46149.63,0.9607142857142857,0.025
2017-04-27,80,75,2,12455.1,0.9375,0.025
2017-05-26,80,77,2,12680.52,0.9625,0.025
2017-10-23,161,152,4,25993.41,0.9440993788819876,0.024844720496894408
2017-10-17,202,195,5,35288.18,0.9653465346534653,0.024752475247524754
2018-02-15,283,270,7,39224.75,0.9540636042402827,0.024734982332155476
2017-07-24,162,157,4,22950.01,0.9691358024691358,0.024691358024691357
2018-02-17,204,198,5,29611.55,0.9705882352941176,0.024509803921568627
2017-11-13,205,197,5,29606.24,0.9609756097560975,0.024390243902439025
2017-03-07,82,78,2,13855.37,0.9512195121951219,0.024390243902439025
2018-08-07,370,353,9,62057.77,0.9540540540540541,0.024324324324324326
2018-05-21,206,199,5,30619.94,0.9660194174757282,0.024271844660194174
2017-07-11,165,158,4,24964.63,0.9575757575757575,0.024242424242424242
2017-07-26,124,117,3,14053.84,0.9435483870967742,0.024193548387096774
2017-05-02,128,122,3,20673.08,0.953125,0.0234375
2018-03-03,214,205,5,31781.79,0.9579439252336449,0.02336448598130841
2017-01-26,86,82,2,15191.96,0.9534883720930233,0.023255813953488372
2017-02-25,43,39,1,5126.18,0.9069767441860465,0.023255813953488372
2017-02-27,43,41,1,6836.77,0.9534883720930233,0.023255813953488372
2017-08-16,174,166,4,28398.61,0.9540229885057471,0.022988505747126436
2017-10-29,132,129,3,20444.68,0.9772727272727273,0.022727272727272728
2017-03-10,88,84,2,14518.92,0.9545454545454546,0.022727272727272728
2017-06-22,88,83,2,10609.04,0.9431818181818182,0.022727272727272728
2017-10-28,88,85,2,20572.64,0.9659090909090909,0.022727272727272728
2018-02-10,179,174,4,25265.32,0.9720670391061452,0.0223463687150838
2017-06-18,90,87,2,19733.69,0.9666666666666667,0.022222222222222223
2017-08-30,181,173,4,35466.27,0.9558011049723757,0.022099447513812154
2017-11-20,230,219,5,50621.24,0.9521739130434783,0.021739130434782608
2018-02-08,230,225,5,31911.01,0.9782608695652174,0.021739130434782608
2017-09-22,138,133,3,19200.25,0.9637681159420289,0.021739130434782608
2017-02-17,46,45,1,8093.57,0.9782608695652174,0.021739130434782608
2017-02-26,46,42,1,6583.5,0.9130434782608695,0.021739130434782608
2017-11-15,186,176,4,27683.35,0.946236559139785,0.021505376344086023
2018-07-29,188,182,4,36468.26,0.9680851063829787,0.02127659574468085
2017-06-20,94,90,2,14659.82,0.9574468085106383,0.02127659574468085
2017-06-30,95,93,2,16236.74,0.9789473684210527,0.021052631578947368
2017-07-10,143,140,3,20661.8,0.9790209790209791,0.02097902097902098
2017-08-09,144,140,3,24214.39,0.9722222222222222,0.020833333333333332
2017-12-04,337,322,7,56225.41,0.9554896142433235,0.020771513353115726
2018-08-09,289,280,6,47261.68,0.9688581314878892,0.020761245674740483
2017-10-09,193,187,4,35265.57,0.9689119170984456,0.02072538860103627
2017-06-16,97,94,2,14777.69,0.9690721649484536,0.020618556701030927
2017-09-27,147,144,3,24879.94,0.9795918367346939,0.02040816326530612
2017-04-20,98,91,2,16056.0,0.9285714285714286,0.02040816326530612
2017-07-31,148,143,3,20479.91,0.9662162162162162,0.02027027027027027
2017-08-03,148,144,3,22380.55,0.972972972972973,0.02027027027027027
2017-09-07,99,97,2,21328.86,0.9797979797979798,0.020202020202020204
2018-08-24,99,96,2,11450.76,0.9696969696969697,0.020202020202020204
2018-02-07,248,242,5,36529.71,0.9758064516129032,0.020161290322580645
2018-02-26,299,290,6,50433.96,0.9698996655518395,0.020066889632107024
2017-11-22,201,190,4,30721.62,0.945273631840796,0.01990049751243781
2017-05-16,153,149,3,24535.57,0.9738562091503268,0.0196078431372549
2017-07-19,153,148,3,20411.75,0.9673202614379085,0.0196078431372549
2018-01-27,153,150,3,25106.77,0.9803921568627451,0.0196078431372549
2017-10-13,154,150,3,26589.92,0.974025974025974,0.01948051948051948
2017-08-10,157,154,3,23594.02,0.9808917197452229,0.01910828025477707
2017-09-05,157,151,3,24954.68,0.9617834394904459,0.01910828025477707
2017-08-17,158,153,3,21885.09,0.9683544303797469,0.0189873417721519
2018-03-05,264,252,5,45635.61,0.9545454545454546,0.01893939393939394
2018-02-02,212,207,4,32532.45,0.9764150943396226,0.018867924528301886
2018-02-21,266,260,5,38017.26,0.9774436090225563,0.018796992481203006
2017-05-29,160,151,3,22225.09,0.94375,0.01875
2017-10-31,160,156,3,27058.22,0.975,0.01875
2017-11-07,160,154,3,24945.21,0.9625,0.01875
2018-07-31,322,313,6,54652.1,0.9720496894409938,0.018633540372670808
2017-06-09,108,105,2,18738.53,0.9722222222222222,0.018518518518518517
2018-02-05,271,265,5,43196.97,0.977859778597786,0.01845018450184502
2018-02-12,218,214,4,27990.55,0.981651376146789,0.01834862385321101
2017-05-06,109,103,2,19227.55,0.944954128440367,0.01834862385321101
2017-12-23,109,101,2,16425.64,0.926605504587156,0.01834862385321101
2017-12-08,219,210,4,35160.82,0.958904109589041,0.0182648401826484
2017-02-28,55,53,1,12582.52,0.9636363636363636,0.01818181818181818
2018-03-01,277,268,5,46747.4,0.9675090252707581,0.018050541516245487
2017-03-27,111,107,2,20549.29,0.963963963963964,0.018018018018018018
2017-05-07,111,102,2,20467.98,0.918918918918919,0.018018018018018018
2017-11-01,111,108,2,22702.16,0.972972972972973,0.018018018018018018
2018-02-22,279,268,5,38784.23,0.9605734767025089,0.017921146953405017
2018-02-13,224,217,4,29024.17,0.96875,0.017857142857142856
2017-02-07,112,108,2,16627.21,0.9642857142857143,0.017857142857142856
2017-05-14,112,108,2,17551.83,0.9642857142857143,0.017857142857142856
2018-01-03,225,219,4,37154.62,0.9733333333333334,0.017777777777777778
2017-12-05,282,269,5,40707.77,0.9539007092198581,0.01773049645390071
2017-11-21,228,222,4,39831.85,0.9736842105263158,0.017543859649122806
2018-01-26,229,223,4,39308.94,0.9737991266375546,0.017467248908296942
2018-02-11,172,165,3,26129.46,0.9593023255813954,0.01744186046511628
2017-06-11,115,111,2,19348.54,0.9652173913043478,0.017391304347826087
2017-07-21,115,112,2,15870.79,0.9739130434782609,0.017391304347826087
2018-08-15,288,282,5,53322.7,0.9791666666666666,0.017361111111111112
2018-02-01,232,227,4,35767.92,0.978448275862069,0.017241379310344827
2017-09-08,116,111,2,14789.08,0.9568965517241379,0.017241379310344827
2018-08-13,292,284,5,48163.76,0.9726027397260274,0.017123287671232876
2018-02-14,295,287,5,43643.36,0.9728813559322034,0.01694915254237288
2017-07-03,118,111,2,19328.18,0.940677966101695,0.01694915254237288
2017-12-24,59,57,1,6960.79,0.9661016949152542,0.01694915254237288
2017-10-18,179,176,3,31793.67,0.9832402234636871,0.01675977653631285
2017-09-11,180,176,3,27103.89,0.9777777777777777,0.016666666666666666
2018-01-12,243,234,4,37270.23,0.9629629629629629,0.01646090534979424
2018-08-21,243,238,4,31479.9,0.9794238683127572,0.01646090534979424
2018-01-24,244,236,4,37025.23,0.9672131147540983,0.01639344262295082
2018-07-08,122,118,2,17554.72,0.9672131147540983,0.01639344262295082
2018-01-29,246,242,4,36056.52,0.983739837398374,0.016260162601626018
2017-08-25,123,117,2,17403.72,0.9512195121951219,0.016260162601626018
2017-05-08,124,120,2,19194.68,0.967741935483871,0.016129032258064516
2017-01-27,62,59,1,12904.13,0.9516129032258065,0.016129032258064516
2017-04-26,125,122,2,18696.09,0.976,0.016
2017-07-04,125,120,2,18107.6,0.96,0.016
2018-01-22,314,305,5,43867.89,0.9713375796178344,0.01592356687898089
2017-06-13,126,121,2,16894.89,0.9603174603174603,0.015873015873015872
2017-10-08,126,124,2,19756.3,0.9841269841269841,0.015873015873015872
2017-01-25,63,57,1,10434.31,0.9047619047619048,0.015873015873015872
2017-02-20,63,59,1,9157.3,0.9365079365079365,0.015873015873015872
2017-04-12,63,61,1,9407.94,0.9682539682539683,0.015873015873015872
2017-12-10,190,184,3,29784.26,0.968421052631579,0.015789473684210527
2018-01-31,256,251,4,37891.63,0.98046875,0.015625
2018-08-10,256,249,4,40690.26,0.97265625,0.015625
2018-08-20,256,251,4,40352.47,0.98046875,0.015625
2017-08-24,128,123,2,16398.73,0.9609375,0.015625
2017-10-01,128,124,2,21909.43,0.96875,0.015625
2017-03-12,64,63,1,7853.18,0.984375,0.015625
2018-02-03,193,189,3,27572.17,0.9792746113989638,0.015544041450777202
2017-09-16,129,125,2,24040.31,0.9689922480620154,0.015503875968992248
2017-11-29,323,314,5,48043.16,0.9721362229102167,0.015479876160990712
2018-02-19,259,251,4,33735.96,0.9691119691119691,0.015444015444015444
2017-04-17,65,58,1,10765.57,0.8923076923076924,0.015384615384615385
2017-02-10,66,63,1,15674.09,0.9545454545454546,0.015151515151515152
2017-10-27,133,130,2,23488.17,0.9774436090225563,0.015037593984962405
2018-06-05,200,196,3,36471.22,0.98,0.015
2018-07-10,134,129,2,22694.45,0.9626865671641791,0.014925373134328358
2017-02-04,67,64,1,15747.17,0.9552238805970149,0.014925373134328358
2018-08-27,67,66,1,6229.95,0.9850746268656716,0.014925373134328358
2018-04-13,202,197,3,36440.53,0.9752475247524752,0.01485148514851485
2017-12-29,135,132,2,20552.64,0.9777777777777777,0.014814814814814815
2017-09-10,136,132,2,20978.6,0.9705882352941176,0.014705882352941176
2017-04-01,68,66,1,20574.68,0.9705882352941176,0.014705882352941176
2017-04-21,68,66,1,10162.6,0.9705882352941176,0.014705882352941176
2017-09-12,206,200,3,32784.96,0.970873786407767,0.014563106796116505
2017-09-13,207,203,3,32054.37,0.9806763285024155,0.014492753623188406
2018-05-12,207,200,3,34883.12,0.966183574879227,0.014492753623188406
2017-08-22,138,135,2,19955.45,0.9782608695652174,0.014492753623188406
2017-02-02,69,67,1,10676.54,0.9710144927536232,0.014492753623188406
2017-07-20,142,139,2,22517.84,0.9788732394366197,0.014084507042253521
2017-03-11,71,68,1,12503.97,0.9577464788732394,0.014084507042253521
2017-10-26,144,140,2,26415.55,0.9722222222222222,0.013888888888888888
2018-08-23,144,142,2,19737.72,0.9861111111111112,0.013888888888888888
2018-02-20,289,283,4,42706.69,0.9792387543252595,0.01384083044982699
2018-03-15,290,272,4,51935.36,0.9379310344827586,0.013793103448275862
2018-01-13,219,211,3,33222.38,0.9634703196347032,0.0136986301369863
2017-05-13,73,67,1,10675.67,0.9178082191780822,0.0136986301369863
2017-06-05,147,142,2,27400.54,0.9659863945578231,0.013605442176870748
2018-07-14,148,142,2,26427.02,0.9594594594594594,0.013513513513513514
2017-03-29,74,72,1,10209.11,0.972972972972973,0.013513513513513514
2017-04-29,74,70,1,13835.28,0.9459459459459459,0.013513513513513514
2017-12-31,74,71,1,10190.93,0.9594594594594594,0.013513513513513514
2018-01-01,74,72,1,8486.29,0.972972972972973,0.013513513513513514
2017-09-04,150,147,2,28719.24,0.98,0.013333333333333334
2017-09-15,150,144,2,21556.66,0.96,0.013333333333333334
2017-06-17,75,72,1,13070.16,0.96,0.013333333333333334
2018-08-02,302,292,4,45932.7,0.9668874172185431,0.013245033112582781
2017-12-07,229,223,3,33664.2,0.9737991266375546,0.013100436681222707
2017-06-10,77,72,1,9892.1,0.935064935064935,0.012987012987012988
2018-01-25,233,226,3,35335.98,0.9699570815450643,0.012875536480686695
2017-12-03,234,227,3,34803.19,0.9700854700854701,0.01282051282051282
2017-10-25,156,152,2,21470.53,0.9743589743589743,0.01282051282051282
2017-04-11,78,73,1,9878.09,0.9358974358974359,0.01282051282051282
2018-01-14,235,229,3,35993.46,0.9744680851063829,0.01276595744680851
2018-01-19,235,225,3,35649.63,0.9574468085106383,0.01276595744680851
2018-08-14,316,311,4,51574.67,0.9841772151898734,0.012658227848101266
2017-10-11,158,151,2,26214.78,0.9556962025316456,0.012658227848101266
2017-10-22,158,152,2,23273.05,0.9620253164556962,0.012658227848101266
2018-08-16,320,316,4,42581.08,0.9875,0.0125
2018-01-18,241,236,3,33038.69,0.979253112033195,0.012448132780082987
2018-06-26,243,238,3,37673.67,0.9794238683127572,0.012345679012345678
2017-09-20,163,158,2,26170.08,0.9693251533742331,0.012269938650306749
2018-08-04,245,236,3,41239.97,0.963265306122449,0.012244897959183673
2017-11-10,165,159,2,23676.7,0.9636363636363636,0.012121212121212121
2018-05-08,331,323,4,55129.38,0.9758308157099698,0.012084592145015106
2018-07-20,250,247,3,38131.01,0.988,0.012
2017-04-22,84,82,1,15005.06,0.9761904761904762,0.011904761904761904
2017-07-08,84,83,1,12001.35,0.9880952380952381,0.011904761904761904
2017-04-07,85,82,1,15043.72,0.9647058823529412,0.011764705882352941
2018-08-17,257,249,3,40872.77,0.9688715953307393,0.011673151750972763
2018-01-04,258,248,3,40998.15,0.9612403100775194,0.011627906976744186
2017-11-12,174,170,2,26725.08,0.9770114942528736,0.011494252873563218
2017-04-10,87,84,1,13492.1,0.9655172413793104,0.011494252873563218
2017-11-08,175,169,2,23436.7,0.9657142857142857,0.011428571428571429
2017-12-19,176,173,2,24494.28,0.9829545454545454,0.011363636363636364
2017-11-30,267,260,3,37026.73,0.9737827715355806,0.011235955056179775
2018-08-06,372,363,4,65860.43,0.9758064516129032,0.010752688172043012
2017-03-09,93,88,1,13828.33,0.946236559139785,0.010752688172043012
2018-07-21,187,184,2,25508.97,0.983957219251337,0.0106951871657754
2018-08-11,188,185,2,31277.25,0.9840425531914894,0.010638297872340425
2017-11-28,380,372,4,56708.41,0.9789473684210527,0.010526315789473684
2018-02-24,191,188,2,28341.36,0.9842931937172775,0.010471204188481676
2017-07-18,192,188,2,32450.89,0.9791666666666666,0.010416666666666666
2017-04-06,96,92,1,26863.58,0.9583333333333334,0.010416666666666666
2018-03-10,193,185,2,31105.0,0.9585492227979274,0.010362694300518135
2018-06-10,193,190,2,30295.41,0.9844559585492227,0.010362694300518135
2017-12-30,97,96,1,15412.61,0.9896907216494846,0.010309278350515464
2018-07-02,195,193,2,29422.43,0.9897435897435898,0.010256410256410256
2018-04-19,293,287,3,50326.53,0.9795221843003413,0.010238907849829351
2017-11-26,391,382,4,53939.87,0.9769820971867008,0.010230179028132993
2018-05-05,197,192,2,32640.67,0.9746192893401016,0.01015228426395939
2018-08-18,198,193,2,29695.07,0.9747474747474747,0.010101010101010102
2017-03-14,99,95,1,16542.98,0.9595959595959596,0.010101010101010102
2018-05-22,199,195,2,32070.66,0.9798994974874372,0.010050251256281407
2018-02-18,202,199,2,29071.93,0.9851485148514851,0.009900990099009901
2017-06-04,102,99,1,16029.49,0.9705882352941176,0.00980392156862745
2018-07-23,307,298,3,48104.33,0.9706840390879479,0.009771986970684038
2017-03-16,103,100,1,16653.72,0.970873786407767,0.009708737864077669
2017-05-03,103,101,1,12192.34,0.9805825242718447,0.009708737864077669
2018-08-01,311,306,3,48850.81,0.9839228295819936,0.00964630225080386
2017-08-20,104,103,1,15073.71,0.9903846153846154,0.009615384615384616
2018-05-25,104,103,1,18286.32,0.9903846153846154,0.009615384615384616
2017-07-23,105,101,1,14066.83,0.9619047619047619,0.009523809523809525
2018-05-06,211,206,2,33099.31,0.976303317535545,0.009478672985781991
2018-02-16,214,210,2,31867.47,0.9813084112149533,0.009345794392523364
2017-06-23,107,103,1,15698.5,0.9626168224299065,0.009345794392523364
2017-12-02,216,212,2,35908.51,0.9814814814814815,0.009259259259259259
2017-03-15,108,101,1,17364.91,0.9351851851851852,0.009259259259259259
2017-08-19,108,106,1,15172.92,0.9814814814814815,0.009259259259259259
2017-05-04,109,107,1,15901.72,0.981651376146789,0.009174311926605505
2017-08-06,109,105,1,17023.39,0.963302752293578,0.009174311926605505
2018-03-28,220,210,2,35150.72,0.9545454545454546,0.00909090909090909
2018-03-23,221,209,2,34817.72,0.9457013574660633,0.00904977375565611
2018-07-17,221,216,2,35758.42,0.9773755656108597,0.00904977375565611
2017-05-05,111,104,1,16584.58,0.9369369369369369,0.009009009009009009
2017-12-22,111,108,1,18073.47,0.972972972972973,0.009009009009009009
2017-08-23,112,111,1,18789.7,0.9910714285714286,0.008928571428571428
2017-11-16,226,219,2,33063.27,0.9690265486725663,0.008849557522123894
2018-05-17,228,224,2,36258.36,0.9824561403508771,0.008771929824561403
2018-05-09,344,335,3,51096.82,0.9738372093023255,0.00872093023255814
2017-04-24,115,110,1,17711.57,0.9565217391304348,0.008695652173913044
2017-07-29,115,109,1,18371.91,0.9478260869565217,0.008695652173913044
2017-08-05,115,113,1,14465.84,0.9826086956521739,0.008695652173913044
2018-06-19,231,228,2,40013.6,0.987012987012987,0.008658008658008658
2017-05-10,116,109,1,23418.4,0.9396551724137931,0.008620689655172414
2017-10-14,116,114,1,16185.46,0.9827586206896551,0.008620689655172414
2017-05-01,117,111,1,14869.67,0.9487179487179487,0.008547008547008548
2017-11-24,1176,1147,10,179200.03,0.9753401360544217,0.008503401360544218
2017-08-27,119,115,1,16327.14,0.9663865546218487,0.008403361344537815
2018-06-25,241,238,2,42008.02,0.9875518672199171,0.008298755186721992
2017-10-15,121,117,1,21353.84,0.9669421487603306,0.008264462809917356
2018-07-16,245,238,2,37854.66,0.9714285714285714,0.00816326530612245
2018-07-26,247,244,2,41784.74,0.9878542510121457,0.008097165991902834
2018-05-07,372,363,3,62568.25,0.9758064516129032,0.008064516129032258
2017-07-27,124,121,1,18945.82,0.9758064516129032,0.008064516129032258
2017-05-23,125,120,1,20622.47,0.96,0.008
2017-09-03,125,123,1,30950.78,0.984,0.008
2017-06-12,126,121,1,17389.2,0.9603174603174603,0.007936507936507936
2017-09-17,126,125,1,22848.42,0.9920634920634921,0.007936507936507936
2017-06-02,127,123,1,21769.38,0.968503937007874,0.007874015748031496
2018-07-11,127,123,1,22148.64,0.968503937007874,0.007874015748031496
2018-05-01,256,252,2,39274.26,0.984375,0.0078125
2018-07-04,256,251,2,41579.8,0.98046875,0.0078125
2017-12-12,260,251,2,40370.39,0.9653846153846154,0.007692307692307693
2018-01-23,262,256,2,40298.33,0.9770992366412213,0.007633587786259542
2017-06-14,131,128,1,23559.52,0.9770992366412213,0.007633587786259542
2018-01-11,266,260,2,46746.38,0.9774436090225563,0.007518796992481203
2018-04-17,266,258,2,42814.25,0.9699248120300752,0.007518796992481203
2018-02-06,268,262,2,40066.42,0.9776119402985075,0.007462686567164179
2017-06-06,134,128,1,17525.09,0.9552238805970149,0.007462686567164179
2017-11-27,403,395,3,56966.28,0.9801488833746899,0.007444168734491315
2018-03-26,272,266,2,42745.23,0.9779411764705882,0.007352941176470588
2017-07-13,137,131,1,17986.75,0.9562043795620438,0.0072992700729927005
2018-08-05,276,269,2,42272.07,0.9746376811594203,0.007246376811594203
2018-05-19,139,137,1,28319.73,0.9856115107913669,0.007194244604316547
2017-09-06,140,138,1,28821.83,0.9857142857142858,0.007142857142857143
2017-10-05,140,138,1,29129.83,0.9857142857142858,0.007142857142857143
2018-04-02,282,274,2,48076.45,0.9716312056737588,0.0070921985815602835
2017-05-17,141,139,1,21396.33,0.9858156028368794,0.0070921985815602835
2017-06-27,141,140,1,19680.13,0.9929078014184397,0.0070921985815602835
2017-05-24,142,140,1,26991.95,0.9859154929577465,0.007042253521126761
2017-08-04,142,139,1,21712.53,0.9788732394366197,0.007042253521126761
2018-03-21,286,277,2,46482.09,0.9685314685314685,0.006993006993006993
2017-09-28,143,140,1,26629.3,0.9790209790209791,0.006993006993006993
2017-10-02,143,140,1,25565.11,0.9790209790209791,0.006993006993006993
2017-12-21,143,140,1,21546.44,0.9790209790209791,0.006993006993006993
2018-05-28,143,142,1,30304.95,0.993006993006993,0.006993006993006993
2017-08-18,147,141,1,20143.72,0.9591836734693877,0.006802721088435374
2018-03-20,297,292,2,42887.93,0.9831649831649831,0.006734006734006734
2018-02-27,298,293,2,47076.99,0.9832214765100671,0.006711409395973154
2017-08-31,149,143,1,23914.85,0.959731543624161,0.006711409395973154
