purchase_date,order_count,successful_orders,failed_orders,revenue,success_rate,failure_rate
2018-08-30,4,0,4,705.04,0.0,1.0
2018-09-06,3,0,3,2443.2,0.0,1.0
2016-09-05,1,0,1,75.06,0.0,1.0
2016-09-13,1,0,1,40.95,0.0,1.0
2016-10-02,1,0,1,109.34,0.0,1.0
2016-10-22,1,0,1,61.99,0.0,1.0
2018-08-31,1,0,1,63.89,0.0,1.0
2018-09-10,1,0,1,51.17,0.0,1.0
2018-09-11,1,0,1,258.67,0.0,1.0
2018-09-12,1,0,1,84.58,0.0,1.0
2018-09-13,1,0,1,414.04,0.0,1.0
2018-09-17,1,0,1,84.58,0.0,1.0
2018-09-20,1,0,1,191.46,0.0,1.0
2018-09-25,1,0,1,221.54,0.0,1.0
2018-09-26,1,0,1,94.63,0.0,1.0
2018-09-29,1,0,1,137.03,0.0,1.0
2018-10-01,1,0,1,80.38,0.0,1.0
2018-10-03,1,0,1,197.55,0.0,1.0
2018-10-16,1,0,1,222.03,0.0,1.0
2018-10-17,1,0,1,89.71,0.0,1.0
2018-09-03,4,0,3,458.64,0.0,0.75
2018-08-29,14,11,3,2381.83,0.7857142857142857,0.21428571428571427
2016-10-09,26,20,4,4152.11,0.7692307692307693,0.15384615384615385
2016-10-03,8,7,1,595.14,0.875,0.125
2018-08-28,44,39,5,5216.72,0.8863636363636364,0.11363636363636363
2016-10-05,47,35,5,10212.22,0.7446808510638298,0.10638297872340426
2016-10-06,51,41,5,9398.61,0.803921568627451,0.09803921568627451
2017-02-01,73,61,7,10310.99,0.8356164383561644,0.0958904109589041
2016-10-08,42,36,4,9716.13,0.8571428571428571,0.09523809523809523
2017-02-16,55,49,5,7803.72,0.8909090909090909,0.09090909090909091
2017-01-11,12,10,1,3062.33,0.8333333333333334,0.08333333333333333
2017-01-13,12,10,1,2903.97,0.8333333333333334,0.08333333333333333
2017-02-11,49,45,4,5648.37,0.9183673469387755,0.08163265306122448
2016-10-04,63,54,5,11914.65,0.8571428571428571,0.07936507936507936
2017-02-22,63,53,5,9393.37,0.8412698412698413,0.07936507936507936
2017-03-06,105,94,7,13515.12,0.8952380952380953,0.06666666666666667
2017-02-03,60,54,4,11639.19,0.9,0.06666666666666667
2017-02-14,76,66,5,15309.08,0.868421052631579,0.06578947368421052
2016-10-07,46,38,3,8255.19,0.8260869565217391,0.06521739130434782
2017-07-09,94,88,6,10701.14,0.9361702127659575,0.06382978723404255
2017-02-08,95,83,6,14299.97,0.8736842105263158,0.06315789473684211
2017-03-02,72,66,4,13146.36,0.9166666666666666,0.05555555555555555
2017-04-14,54,47,3,10515.9,0.8703703703703703,0.05555555555555555
2017-03-05,74,67,4,8789.14,0.9054054054054054,0.05405405405405406
2017-08-13,96,90,5,15928.58,0.9375,0.052083333333333336
2017-03-21,97,92,5,14937.51,0.9484536082474226,0.05154639175257732
2016-10-10,39,34,2,4675.1,0.8717948717948718,0.05128205128205128
2017-09-24,118,112,6,15880.06,0.9491525423728814,0.05084745762711865
2017-03-04,80,69,4,15533.69,0.8625,0.05
2018-07-12,124,117,6,35228.7,0.9435483870967742,0.04838709677419355
2017-05-27,83,77,4,16333.54,0.927710843373494,0.04819277108433735
2017-05-30,105,98,5,17074.36,0.9333333333333333,0.047619047619047616
2017-02-06,85,78,4,11626.0,0.9176470588235294,0.047058823529411764
