date,order_count,revenue,order_count_roll_mean,order_count_roll_std,order_count_zscore,revenue_roll_mean,revenue_roll_std,revenue_zscore,has_anomaly
2016-09-04,1,136.23,,,,,,,False
2016-09-05,1,75.06,,,,,,,False
2016-09-06,0,0.0,,,,,,,False
2016-09-07,0,0.0,,,,,,,False
2016-09-08,0,0.0,,,,,,,False
2016-09-09,0,0.0,,,,,,,False
2016-09-10,0,0.0,0.2857142857142857,0.4879500364742666,-0.5855400437691198,30.184285714285714,54.490027790151004,-0.5539414630238357,False
2016-09-11,0,0.0,0.25,0.4629100498862757,-0.5400617248673217,26.41125,51.5643612910811,-0.512199692553319,False
2016-09-12,0,0.0,0.2222222222222222,0.44095855184409843,-0.5039526306789696,23.476666666666667,49.03089791141908,-0.4788137208721004,False
2016-09-13,0,0.0,0.2,0.4216370213557839,-0.47434164902525694,21.128999999999998,46.819120132697925,-0.45128998452159613,False
2016-09-14,0,0.0,0.18181818181818182,0.40451991747794525,-0.44946657497549475,19.208181818181817,44.87105945220858,-0.42807506782049876,False
2016-09-15,1,0.0,0.25,0.45226701686664544,1.6583123951777,17.607499999999998,43.14070828537284,-0.4081411896051309,False
2016-09-16,0,0.0,0.23076923076923078,0.4385290096535146,-0.5262348115842176,16.25307692307692,41.59176989594123,-0.3907762753001524,False
2016-09-17,0,0.0,0.21428571428571427,0.42581531362632,-0.5032362797401965,15.092142857142857,40.19548160190137,-0.3754686411427137,False
2016-09-18,0,0.0,0.14285714285714285,0.3631365196012814,-0.3933978962347216,5.361428571428571,20.060628817946586,-0.26726124191242423,False
2016-09-19,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-20,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-21,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-22,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-23,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-24,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-25,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-26,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-27,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-28,0,0.0,0.07142857142857142,0.26726124191242434,-0.2672612419124244,0.0,,,False
2016-09-29,0,0.0,0.0,,,0.0,,,False
2016-09-30,0,0.0,0.0,,,0.0,,,False
