category_name,total_orders,total_items,total_revenue,avg_item_price,total_freight
watches_gifts,3828,4099,809579.63,197.51,66495.12
health_beauty,5515,6034,771321.34,127.83,110556.89
bed_bath_table,6576,7795,735528.37,94.36,138564.09
sports_leisure,5505,6143,695634.52,113.24,116806.47
computers_accessories,4773,5655,658698.39,116.48,105493.34
furniture_decor,4272,5616,481012.53,85.65,111378.3
cool_stuff,2667,2795,459615.94,164.44,61027.16
auto,2520,2737,381274.12,139.3,59012.02
housewares,3614,4262,376205.39,88.27,87391.48
toys,2811,2979,350659.4,117.71,55454.6
garden_tools,2596,3251,328500.27,101.05,71322.06
baby,1942,2056,299887.65,145.86,45478.48
perfumery,2115,2276,240686.22,105.75,35121.19
office_furniture,897,1218,194130.79,159.38,49926.01
telephony,2843,3065,192591.76,62.84,46691.8
computers,149,164,179857.65,1096.69,7628.05
stationery,1616,1752,158309.14,90.36,31759.73
musical_instruments,442,471,132060.33,280.38,12213.36
pet_shop,1029,1165,120604.3,103.52,23227.17
electronics,1923,2087,108467.65,51.97,34637.58
fashion_bags_accessories,1278,1400,107960.1,77.11,21559.24
small_appliances,410,441,104553.23,237.08,9496.78
consoles_games,745,799,99657.25,124.73,13806.06
luggage_accessories,700,742,93503.66,126.02,20499.47
construction_tools_construction,401,521,80530.46,154.57,12367.71
home_appliances_2,155,156,74971.63,480.59,6938.98
home_appliances,489,493,57918.83,117.48,9761.4
home_construction,304,391,54815.82,140.19,8621.4
agro_industry_and_commerce,112,135,53406.65,395.6,3576.24
home_confort,275,306,40410.97,132.06,6036.31
audio,238,245,40128.93,163.79,3784.48
furniture_living_room,225,273,37350.77,136.82,9554.79
fixed_telephony,108,133,36764.99,276.43,2387.79
kitchen_dining_laundry_garden_furniture,158,179,33543.37,187.39,8482.25
air_conditioning,152,174,31611.7,181.68,3867.0
books_general_interest,345,372,30077.92,80.85,6137.54
construction_tools_safety,106,126,29969.68,237.85,2535.02
industry_commerce_and_business,181,206,27590.61,133.94,5214.11
construction_tools_lights,111,140,19911.45,142.22,3477.11
drinks,212,279,16725.47,59.95,4146.7
fashion_shoes,158,175,15596.41,89.12,3250.82
costruction_tools_garden,128,159,15167.89,95.4,3295.29
market_place,171,192,14868.76,77.44,3178.5
books_technical,169,175,12905.08,73.74,2799.31
food_drink,166,201,12362.5,61.5,3289.11
food,215,253,11716.31,46.31,3468.52
art,117,119,10610.82,89.17,2108.98
signaling_and_security,78,111,9129.18,82.24,2376.97
fashion_underwear_beach,88,91,7602.1,83.54,1364.22
christmas_supplies,100,124,7323.72,59.06,2644.33
fashion_male_clothing,69,84,7159.8,85.24,1363.14
costruction_tools_tools,66,70,7087.08,101.24,1364.22
