seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_item_price,total_freight,avg_seller_review
b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,sp,33,36,42829.0,1189.69,920.93,4.03
e9779976487b77c6d4ac45f75ec7afe9,praia grande,sp,645,738,42229.69,57.22,9981.61,4.2
17a053fcb14bd219540cbde0df490be0,mogi guacu,sp,124,148,40353.24,272.66,8761.17,4.23
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,sp,524,525,39926.39,76.05,9058.06,4.14
834f3294fba9f932f56edc879193f925,araraquara,sp,66,66,39907.5,604.66,4299.92,4.55
712e6ed8aa4aa1fa65dab41fed5737e4,videira,sc,77,85,39385.0,463.35,6764.82,3.46
634964b17796e64304cadf1ad3050fb7,rio de janeiro,rj,265,323,39114.1,121.1,5900.0,3.87
2eb70248d66e0e3ef83659f71b244378,campinas,sp,187,197,38990.72,197.92,3056.01,2.81
391fc6631aebcf3004804e51b40bcf1e,ibitinga,sp,513,592,38559.07,65.13,9843.83,4.01
7142540dd4c91e2237acb7e911c4eba2,penapolis,sp,316,328,37181.94,113.36,6843.74,4.06
7178f9f4dd81dcef02f62acdf8151e01,videira,sc,202,215,36795.4,171.14,4385.04,4.05
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,sp,1132,1188,36696.76,30.89,17291.87,3.98
59417c56835dd8e2e72f91f809cd4092,limeira,sp,18,18,36459.0,2025.5,1198.77,4.28
c70c1b0d8ca86052f45a432a38b73958,hortolandia,sp,260,336,36289.15,108.0,3901.41,4.32
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,ma,389,402,36097.98,89.8,12071.52,4.02
c3867b4666c7d76867627c2f7fb22e21,guara,sp,228,241,34666.9,143.85,4693.3,4.02
7299e27ed73d2ad986de7f7c77d919fa,araguari,mg,335,358,34107.44,95.27,6804.49,4.43
e9bc59e7b60fc3063eb2290deda4cced,maringa,pr,209,260,33543.69,129.01,4538.73,4.03
1835b56ce799e6a4dc4eddc053f04066,ibitinga,sp,417,551,33005.32,59.9,8622.96,3.62
5c243662ce92d84573bfaff24c3e3700,sao paulo,sp,98,100,32862.02,328.62,1775.64,4.13
dbc22125167c298ef99da25668e1011f,borda da mata,mg,394,417,32829.12,78.73,7787.43,4.27
