,order_item_count,total_freight_value,total_item_price,average_item_price,order_revenue,payment_record_count,review_score,review_count,delivery_days,delivery_delay_days,approval_delay_hours
order_item_count,1.0,0.4369409500727268,0.15306311978294918,-0.05846029507321734,0.18921647167914474,-0.002941167499113246,-0.11555873616373884,0.009883280671002076,-0.019112871249048945,-0.03205577512885337,0.025462762879575315
total_freight_value,0.4369409500727268,1.0,0.4127864197040796,0.3015288787189801,0.49268110206508237,0.006552466260435761,-0.08862346844231309,-0.002874431124026703,0.16713814899611035,-0.04950294360693134,0.03987212795878515
total_item_price,0.15306311978294918,0.4127864197040796,1.0,0.9331693361267265,0.9959698733878193,0.0016148166936707255,-0.039724088747918385,-0.009789261797492722,0.055577522024015544,-0.013658710545031585,0.022722611080106286
average_item_price,-0.05846029507321734,0.3015288787189801,0.9331693361267265,1.0,0.9211962096778622,0.0022943844612866946,-0.012212054510437104,-0.012615541756772127,0.0604405670275995,-0.006953073062289409,0.012541191481119564
order_revenue,0.18921647167914474,0.49268110206508237,0.9959698733878193,0.9211962096778622,1.0,0.002036485637433083,-0.0491371087246702,-0.00979594243659667,0.06960841473622081,-0.017969221840751268,0.0208199025151334
payment_record_count,-0.002941167499113246,0.006552466260435761,0.0016148166936707255,0.0022943844612866946,0.002036485637433083,1.0,-0.004566996665330678,0.005426064595224708,0.003956115930915362,-0.00472999464243265,-0.00981722563035308
review_score,-0.11555873616373884,-0.08862346844231309,-0.039724088747918385,-0.012212054510437104,-0.0491371087246702,-0.004566996665330678,1.0,-0.0037097492127239626,-0.3343017220365596,-0.2666425452084388,-0.022849446851832173
review_count,0.009883280671002076,-0.002874431124026703,-0.009789261797492722,-0.012615541756772127,-0.00979594243659667,0.005426064595224708,-0.0037097492127239626,1.0,0.008685957335319487,-0.00505075369911978,0.002036434639323589
delivery_days,-0.019112871249048945,0.16713814899611035,0.055577522024015544,0.0604405670275995,0.06960841473622081,0.003956115930915362,-0.3343017220365596,0.008685957335319487,1.0,0.6072209824364272,0.08017536076363428
delivery_delay_days,-0.03205577512885337,-0.04950294360693134,-0.013658710545031585,-0.006953073062289409,-0.017969221840751268,-0.00472999464243265,-0.2666425452084388,-0.00505075369911978,0.6072209824364272,1.0,0.038051989678787715
approval_delay_hours,0.025462762879575315,0.03987212795878515,0.022722611080106286,0.012541191481119564,0.0208199025151334,-0.00981722563035308,-0.022849446851832173,0.002036434639323589,0.08017536076363428,0.038051989678787715,1.0
